Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Latest Action,Latest Action Date,Number of Related Bills,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill
H.R. 3207,https://www.congress.gov/bill/116th-congress/house-bill/3207,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 114 Mill Street in Hookstown, Pennsylvania, as the ""Staff Sergeant Dylan Elchin Post Office Building"".","Lamb, Conor [Rep.-D-PA-17]",Democratic,06/11/2019,Became Public Law No: 116-197.,12/03/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3196,https://www.congress.gov/bill/116th-congress/house-bill/3196,116th Congress (2019-2020),Vera C. Rubin Observatory Designation Act,"Johnson, Eddie Bernice [Rep.-D-TX-30]",Democratic,06/11/2019,Became Public Law No: 116-97.,12/20/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3153,https://www.congress.gov/bill/116th-congress/house-bill/3153,116th Congress (2019-2020),Expanding Findings for Federal Opioid Research and Treatment Act,"Wexton, Jennifer [Rep.-D-VA-10]",Democratic,06/06/2019,Became Public Law No: 116-335.,01/13/2021,1,S.2354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3151,https://www.congress.gov/bill/116th-congress/house-bill/3151,116th Congress (2019-2020),Taxpayer First Act,"Lewis, John [Rep.-D-GA-5]",Democratic,06/06/2019,Became Public Law No: 116-25.,07/01/2019,10,S.240,S.928,S.1099,S.1100,S.1876,H.R.1219,H.R.1825,H.R.1875,H.R.1957,H.R.2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3144,https://www.congress.gov/bill/116th-congress/house-bill/3144,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 8520 Michigan Avenue in Whittier, California, as the Jose Ramos Post Office Building.","Sánchez, Linda T. [Rep.-D-CA-38]",Democratic,06/05/2019,Became Public Law No: 116-89.,12/13/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3055,https://www.congress.gov/bill/116th-congress/house-bill/3055,116th Congress (2019-2020),"Further Continuing Appropriations Act, 2020, and Further Health Extenders Act of 2019","Serrano, Jose E. [Rep.-D-NY-15]",Democratic,06/03/2019,Became Public Law No: 116-69.,11/21/2019,21,H.R.2745,H.R.3052,H.R.3277,S.162,S.192,S.1992,H.Con.Res.75,H.R.1158,H.R.2745,H.R.3052,H.R.3163,H.R.3164,S.2584,H.R.3163,H.R.3164,S.2584,H.R.824,H.R.678,H.Res.445,H.Res.708,H.R.2763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3005,https://www.congress.gov/bill/116th-congress/house-bill/3005,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 13308 Midland Road in Poway, California, as the Ray Chavez Post Office Building.","Peters, Scott H. [Rep.-D-CA-52]",Democratic,05/23/2019,Became Public Law No: 116-230.,12/21/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2969,https://www.congress.gov/bill/116th-congress/house-bill/2969,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 1401 1st Street North in Winter Haven, Florida, as the Althea Margaret Daily Mills Post Office Building.","Soto, Darren [Rep.-D-FL-9]",Democratic,05/23/2019,Became Public Law No: 116-229.,12/21/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2940,https://www.congress.gov/bill/116th-congress/house-bill/2940,116th Congress (2019-2020),"To extend the program of block grants to States for temporary assistance for needy families and related programs through September 30, 2019.","Davis, Danny K. [Rep.-D-IL-7]",Democratic,05/23/2019,Became Public Law No: 116-27.,07/05/2019,1,H.R.430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2938,https://www.congress.gov/bill/116th-congress/house-bill/2938,116th Congress (2019-2020),Honoring American Veterans in Extreme Need Act of 2019,"McBath, Lucy [Rep.-D-GA-6]",Democratic,05/23/2019,Became Public Law No: 116-52.,08/23/2019,3,H.R.2500,S.1790,S.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2744,https://www.congress.gov/bill/116th-congress/house-bill/2744,116th Congress (2019-2020),USAID Branding Modernization Act,"McCaul, Michael T. [Rep.-R-TX-10]",Republican,05/15/2019,Became Public Law No: 116-334.,01/13/2021,1,H.R.2691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2695,https://www.congress.gov/bill/116th-congress/house-bill/2695,116th Congress (2019-2020),"To rename the Success Dam in Tulare County, California, as the Richard L. Schafer Dam.","McCarthy, Kevin [Rep.-R-CA-23]",Republican,05/14/2019,Became Public Law No: 116-41.,08/09/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2502,https://www.congress.gov/bill/116th-congress/house-bill/2502,116th Congress (2019-2020),Transparency in Federal Buildings Projects Act of 2019,"Palmer, Gary J. [Rep.-R-AL-6]",Republican,05/02/2019,Became Public Law No: 116-333.,01/13/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2476,https://www.congress.gov/bill/116th-congress/house-bill/2476,116th Congress (2019-2020),Securing American Nonprofit Organizations Against Terrorism Act of 2019,"Thompson, Bennie G. [Rep.-D-MS-2]",Democratic,05/02/2019,Became Public Law No: 116-108.,01/24/2020,2,S.1539,S.1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2468,https://www.congress.gov/bill/116th-congress/house-bill/2468,116th Congress (2019-2020),School-Based Allergies and Asthma Management Program Act,"Hoyer, Steny H. [Rep.-D-MD-5]",Democratic,05/02/2019,Became Public Law No: 116-292.,01/05/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2454,https://www.congress.gov/bill/116th-congress/house-bill/2454,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 123 East Sharpfish Street in Rosebud, South Dakota, as the Ben Reifel Post Office Building.","Johnson, Dusty [Rep.-R-SD-At Large]",Republican,05/01/2019,Became Public Law No: 116-228.,12/21/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2451,https://www.congress.gov/bill/116th-congress/house-bill/2451,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 575 Dexter Street in Central Falls, Rhode Island, as the Elizabeth Buffum Chace Post Office.","Cicilline, David N. [Rep.-D-RI-1]",Democratic,05/01/2019,Became Public Law No: 116-88.,12/13/2019,1,S.1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2444,https://www.congress.gov/bill/116th-congress/house-bill/2444,116th Congress (2019-2020),Eastern European Security Act,"McCaul, Michael T. [Rep.-R-TX-10]",Republican,05/01/2019,Became Public Law No: 116-332.,01/13/2021,1,H.R.3194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2423,https://www.congress.gov/bill/116th-congress/house-bill/2423,116th Congress (2019-2020),Women's Suffrage Centennial Commemorative Coin Act,"Stefanik, Elise M. [Rep.-R-NY-21]",Republican,04/30/2019,Became Public Law No: 116-71.,11/25/2019,2,S.1235,H.Con.Res.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2385,https://www.congress.gov/bill/116th-congress/house-bill/2385,116th Congress (2019-2020),To permit the Secretary of Veterans Affairs to establish a grant program to conduct cemetery research and produce educational materials for the Veterans Legacy Program.,"Lamb, Conor [Rep.-D-PA-17]",Democratic,04/29/2019,Became Public Law No: 116-107.,01/17/2020,1,S.3039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2379,https://www.congress.gov/bill/116th-congress/house-bill/2379,116th Congress (2019-2020),To reauthorize the Bulletproof Vest Partnership Grant Program.,"Pascrell, Bill, Jr. [Rep.-D-NJ-9]",Democratic,04/29/2019,Became Public Law No: 116-18.,05/23/2019,2,S.1231,H.R.4163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2372,https://www.congress.gov/bill/116th-congress/house-bill/2372,116th Congress (2019-2020),Veterans' Care Quality Transparency Act,"Underwood, Lauren [Rep.-D-IL-14]",Democratic,04/25/2019,Became Public Law No: 116-177.,10/20/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2359,https://www.congress.gov/bill/116th-congress/house-bill/2359,116th Congress (2019-2020),Whole Veteran Act,"Lamb, Conor [Rep.-D-PA-17]",Democratic,04/25/2019,Became Public Law No: 116-185.,10/30/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2336,https://www.congress.gov/bill/116th-congress/house-bill/2336,116th Congress (2019-2020),Family Farmer Relief Act of 2019,"Delgado, Antonio [Rep.-D-NY-19]",Democratic,04/18/2019,Became Public Law No: 116-51.,08/23/2019,2,S.897,H.R.1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2334,https://www.congress.gov/bill/116th-congress/house-bill/2334,116th Congress (2019-2020),"To designate the Department of Veterans Affairs community-based outpatient clinic in Odessa, Texas, as the Wilson and Young Medal of Honor VA Clinic.","Conaway, K. Michael [Rep.-R-TX-11]",Republican,04/18/2019,Became Public Law No: 116-87.,12/13/2019,1,S.1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2333,https://www.congress.gov/bill/116th-congress/house-bill/2333,116th Congress (2019-2020),Support for Suicide Prevention Coordinators Act,"Brindisi, Anthony [Rep.-D-NY-22]",Democratic,04/18/2019,Became Public Law No: 116-96.,12/20/2019,1,S.1392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2325,https://www.congress.gov/bill/116th-congress/house-bill/2325,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 100 Calle Alondra in San Juan, Puerto Rico, as the 65th Infantry Regiment Post Office Building.","González-Colón, Jenniffer [Resident Commissioner-R-PR-At Large]",Republican,04/15/2019,Became Public Law No: 116-86.,12/13/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2246,https://www.congress.gov/bill/116th-congress/house-bill/2246,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 201 West Cherokee Street in Brookhaven, Mississippi, as the Deputy Donald William Durr, Corporal Zach Moak, and Patrolman James White Memorial Post Office Building.","Guest, Michael [Rep.-R-MS-3]",Republican,04/10/2019,Became Public Law No: 116-227.,12/21/2020,1,S.1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2196,https://www.congress.gov/bill/116th-congress/house-bill/2196,116th Congress (2019-2020),"To amend title 38, United States Code, to reduce the credit hour requirement for the Edith Nourse Rogers STEM Scholarship program of the Department of Veterans Affairs.","Barr, Andy [Rep.-R-KY-6]",Republican,04/10/2019,Became Public Law No: 116-36.,07/31/2019,1,S.2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2157,https://www.congress.gov/bill/116th-congress/house-bill/2157,116th Congress (2019-2020),"Additional Supplemental Appropriations for Disaster Relief Act, 2019","Lowey, Nita M. [Rep.-D-NY-17]",Democratic,04/09/2019,Became Public Law No: 116-20.,06/06/2019,7,S.572,S.811,S.1520,H.R.268,H.Con.Res.45,H.Res.357,H.Con.Res.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2151,https://www.congress.gov/bill/116th-congress/house-bill/2151,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 7722 South Main Street in Pine Plains, New York, as the Senior Chief Petty Officer Shannon M. Kent Post Office.","Delgado, Antonio [Rep.-D-NY-19]",Democratic,04/09/2019,Became Public Law No: 116-85.,12/13/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2030,https://www.congress.gov/bill/116th-congress/house-bill/2030,116th Congress (2019-2020),Colorado River Drought Contingency Plan Authorization Act,"Grijalva, Raúl M. [Rep.-D-AZ-3]",Democratic,04/02/2019,Became Public Law No: 116-14.,04/16/2019,2,S.1057,S.1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1972,https://www.congress.gov/bill/116th-congress/house-bill/1972,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 1100 West Kent Avenue in Missoula, Montana, as the Jeannette Rankin Post Office Building.","Gianforte, Greg [Rep.-R-MT-At Large]",Republican,03/28/2019,Became Public Law No: 116-84.,12/13/2019,1,S.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
